sample_id,trunc_frame,distance,align_lag,cosine,norm_l2
p6_repo_default_s404_f3aa73e9bdf4,4,0,0,0.1478452146825369,1.133267907715384
p6_repo_default_s404_f3aa73e9bdf4,4,1,0,0.3265967969447252,1.1834649808766866
p6_repo_default_s404_f3aa73e9bdf4,4,2,0,0.6710416682106133,0.839225222647826
p6_repo_default_s404_f3aa73e9bdf4,4,3,0,0.8129232272844388,0.7124079185430799
p6_repo_default_s404_f3aa73e9bdf4,4,4,0,0.6738402946696014,0.9472955792867623
p6_repo_default_s404_f3aa73e9bdf4,4,5,0,0.5088498429117306,1.1229841952296464
p6_repo_default_s404_f3aa73e9bdf4,4,6,0,0.5512680003568768,1.019636523849523
p6_repo_default_s404_f3aa73e9bdf4,4,7,0,0.7468726336471375,0.7363817031958705
p6_repo_default_s404_f3aa73e9bdf4,4,8,0,0.9368511614031835,0.3557271139260331
p6_repo_default_s404_f3aa73e9bdf4,4,9,0,0.9965164561573614,0.08424871158517738
p6_repo_default_s404_f3aa73e9bdf4,4,10,0,0.9990820826286281,0.04342049277933583
p6_repo_default_s404_f3aa73e9bdf4,4,11,0,0.9993393558803914,0.03676965998097602
p6_repo_default_s404_f3aa73e9bdf4,4,12,0,0.9995121076640103,0.031413334669731126
p6_repo_default_s404_f3aa73e9bdf4,4,13,0,0.9996777332525044,0.02758544384905672
p6_repo_default_s404_f3aa73e9bdf4,4,14,0,0.9997820013308819,0.023455008256004446
p6_repo_default_s404_f3aa73e9bdf4,4,15,0,0.9998250187545898,0.022173976266175205
p6_repo_default_s404_f3aa73e9bdf4,4,16,0,0.999844199875407,0.02108070948377761
p6_repo_default_s404_f3aa73e9bdf4,4,17,0,0.9999066572196361,0.013807607290375482
p6_repo_default_s404_f3aa73e9bdf4,4,18,0,0.9999041904931601,0.015899202524807882
p6_repo_default_s404_f3aa73e9bdf4,4,19,0,0.9999116563307718,0.01589360232651522
p6_repo_default_s404_f3aa73e9bdf4,4,20,0,0.9999420724949628,0.011840229535781406
p6_repo_default_s404_f3aa73e9bdf4,4,21,0,0.9998715296144688,0.019592637669300528
p6_repo_default_s404_f3aa73e9bdf4,4,22,0,0.9999093292259555,0.014871498019561055
p6_repo_default_s404_f3aa73e9bdf4,4,23,0,0.999826313372156,0.01885479443903504
p6_repo_default_s404_f3aa73e9bdf4,4,24,0,0.9995896036252708,0.02872567154118944
p6_repo_default_s404_f3aa73e9bdf4,4,25,0,0.9995467009492178,0.030352799357378002
p6_repo_default_s404_f3aa73e9bdf4,4,26,0,0.9997124049740422,0.024012513382931283
p6_repo_default_s404_f3aa73e9bdf4,4,27,0,0.9997195864804298,0.02790556780925746
p6_repo_default_s404_f3aa73e9bdf4,4,28,0,0.9990683922193175,0.04370327167408155
p6_repo_default_s404_f3aa73e9bdf4,4,29,0,0.9997480027823942,0.024094177976799334
p6_repo_default_s404_f3aa73e9bdf4,4,30,0,0.9998250712417935,0.020576316754114067
p6_repo_default_s404_f3aa73e9bdf4,4,31,0,0.9998192196152291,0.02127336315083931
p6_repo_default_s404_f3aa73e9bdf4,4,32,0,0.9998742545610435,0.02020440859594708
p6_repo_default_s404_f3aa73e9bdf4,4,33,0,0.9998862370692096,0.016568173283842053
p6_repo_default_s404_f3aa73e9bdf4,4,34,0,0.9999425400536833,0.011507393577616556
p6_repo_default_s404_f3aa73e9bdf4,4,35,0,0.9999512273604265,0.012054560500291698
p6_repo_default_s404_f3aa73e9bdf4,4,36,0,0.9999184441477175,0.016592058540047232
p6_repo_default_s404_f3aa73e9bdf4,4,37,0,0.9997333569089195,0.025374578186687813
p6_repo_default_s404_f3aa73e9bdf4,4,38,0,0.9999373817946645,0.01477395919573426
p6_repo_default_s404_f3aa73e9bdf4,4,39,0,0.9999568320173674,0.011373319083449171
p6_repo_default_s404_f3aa73e9bdf4,4,40,0,0.9999519140660799,0.011056795376782908
p6_repo_default_s404_f3aa73e9bdf4,4,41,0,0.9999596231351636,0.00937292600926686
p6_repo_default_s404_f3aa73e9bdf4,4,42,0,0.9999744628757056,0.010623617631479634
p6_repo_default_s404_f3aa73e9bdf4,4,43,0,0.9999612894967372,0.009060739235107659
p6_repo_default_s404_f3aa73e9bdf4,4,44,0,0.9999191441942549,0.015638009098134762
p6_repo_default_s404_f3aa73e9bdf4,4,45,0,0.999956013626585,0.01120142367285214
p6_repo_default_s404_f3aa73e9bdf4,4,46,0,0.9999421555121797,0.011870637858314097
p6_repo_default_s404_f3aa73e9bdf4,4,47,0,0.9999304404947452,0.013872165277721189
p6_repo_default_s404_f3aa73e9bdf4,4,48,0,0.9999317852450108,0.014461796850869294
p6_repo_default_s404_f3aa73e9bdf4,4,49,0,0.9999298547206289,0.013947395726333935
p6_repo_default_s404_f3aa73e9bdf4,4,50,0,0.9999113298382089,0.01759044747148936
p6_repo_default_s404_f3aa73e9bdf4,4,51,0,0.9999088084786926,0.015356097780723166
p6_repo_default_s404_f3aa73e9bdf4,4,52,0,0.9999376887080388,0.014491481827026595
p6_repo_default_s404_f3aa73e9bdf4,4,53,0,0.9999513764946611,0.012050965823455571
p6_repo_default_s404_f3aa73e9bdf4,4,54,0,0.999894095342682,0.01775896960969266
p6_repo_default_s404_f3aa73e9bdf4,4,55,0,0.9998865379243658,0.020133302888867315
p6_repo_default_s404_f3aa73e9bdf4,4,56,0,0.9999122844335098,0.015888860357720067
p6_repo_default_s404_f3aa73e9bdf4,4,57,0,0.9998532640106911,0.017945136303260483
p6_repo_default_s404_f3aa73e9bdf4,4,58,0,0.9998326673400069,0.018718670204964524
p6_repo_default_s404_f3aa73e9bdf4,4,59,0,0.9998627829297451,0.01733352641318342
p6_repo_default_s404_f3aa73e9bdf4,4,60,0,0.999837149449101,0.019059216801956876
p6_repo_default_s404_f3aa73e9bdf4,4,61,0,0.9996022416485371,0.029706852061025482
p6_repo_default_s404_f3aa73e9bdf4,4,62,0,0.9997690866134507,0.023831849404270893
p6_repo_default_s404_f3aa73e9bdf4,8,0,0,0.09363929219006525,1.2989089945581216
p6_repo_default_s404_f3aa73e9bdf4,8,1,0,0.15249645522591423,1.5763639039340007
p6_repo_default_s404_f3aa73e9bdf4,8,2,0,0.256665702164076,1.385214911995336
p6_repo_default_s404_f3aa73e9bdf4,8,3,0,0.42745290223801685,1.2274933576580858
p6_repo_default_s404_f3aa73e9bdf4,8,4,0,0.7260159597828181,0.7918855267776588
p6_repo_default_s404_f3aa73e9bdf4,8,5,0,0.9725331743438186,0.2410839139301334
p6_repo_default_s404_f3aa73e9bdf4,8,6,0,0.9919749146110248,0.13324716411493995
p6_repo_default_s404_f3aa73e9bdf4,8,7,0,0.9942850369117524,0.11680566444208099
p6_repo_default_s404_f3aa73e9bdf4,8,8,0,0.9970202623577098,0.0876049974592725
p6_repo_default_s404_f3aa73e9bdf4,8,9,0,0.9981073613758458,0.0760065434077146
p6_repo_default_s404_f3aa73e9bdf4,8,10,0,0.9986137713389955,0.06716009186652074
p6_repo_default_s404_f3aa73e9bdf4,8,11,0,0.9989082435681074,0.06722192830745319
p6_repo_default_s404_f3aa73e9bdf4,8,12,0,0.9987044047310732,0.06484974336473766
p6_repo_default_s404_f3aa73e9bdf4,8,13,0,0.9992029970044688,0.049932803187237744
p6_repo_default_s404_f3aa73e9bdf4,8,14,0,0.9990315894443969,0.06479053484839994
p6_repo_default_s404_f3aa73e9bdf4,8,15,0,0.9989158968093695,0.06956130421052469
