talker_id,token_class,codec_id,source_code_rule,observed_count,observed_in_final_support,observed_as_sampled_token,notes
0,ordinary_codec,0,identity,0,0,0,
1,ordinary_codec,1,identity,0,0,0,
2,ordinary_codec,2,identity,8,1,1,
3,ordinary_codec,3,identity,0,0,0,
4,ordinary_codec,4,identity,0,1,0,
5,ordinary_codec,5,identity,0,1,0,
6,ordinary_codec,6,identity,0,0,0,
7,ordinary_codec,7,identity,0,1,0,
8,ordinary_codec,8,identity,0,1,0,
9,ordinary_codec,9,identity,0,0,0,
10,ordinary_codec,10,identity,0,0,0,
11,ordinary_codec,11,identity,0,0,0,
12,ordinary_codec,12,identity,0,1,0,
13,ordinary_codec,13,identity,0,1,0,
14,ordinary_codec,14,identity,0,0,0,
15,ordinary_codec,15,identity,0,1,0,
16,ordinary_codec,16,identity,0,0,0,
17,ordinary_codec,17,identity,0,1,0,
18,ordinary_codec,18,identity,0,1,0,
19,ordinary_codec,19,identity,0,1,0,
20,ordinary_codec,20,identity,0,0,0,
21,ordinary_codec,21,identity,0,0,0,
22,ordinary_codec,22,identity,0,1,0,
23,ordinary_codec,23,identity,0,0,0,
24,ordinary_codec,24,identity,0,0,0,
25,ordinary_codec,25,identity,0,0,0,
26,ordinary_codec,26,identity,0,1,0,
27,ordinary_codec,27,identity,0,0,0,
28,ordinary_codec,28,identity,0,1,0,
29,ordinary_codec,29,identity,0,0,0,
30,ordinary_codec,30,identity,0,1,0,
31,ordinary_codec,31,identity,0,0,0,
32,ordinary_codec,32,identity,0,0,0,
33,ordinary_codec,33,identity,0,1,0,
34,ordinary_codec,34,identity,0,1,0,
35,ordinary_codec,35,identity,0,1,0,
36,ordinary_codec,36,identity,1,1,1,
37,ordinary_codec,37,identity,0,0,0,
38,ordinary_codec,38,identity,2,1,1,
39,ordinary_codec,39,identity,0,0,0,
40,ordinary_codec,40,identity,0,0,0,
41,ordinary_codec,41,identity,0,1,0,
42,ordinary_codec,42,identity,0,1,0,
43,ordinary_codec,43,identity,0,1,0,
44,ordinary_codec,44,identity,0,1,0,
45,ordinary_codec,45,identity,0,0,0,
46,ordinary_codec,46,identity,0,1,0,
47,ordinary_codec,47,identity,0,1,0,
48,ordinary_codec,48,identity,0,0,0,
49,ordinary_codec,49,identity,0,1,0,
50,ordinary_codec,50,identity,0,1,0,
51,ordinary_codec,51,identity,0,1,0,
52,ordinary_codec,52,identity,0,0,0,
53,ordinary_codec,53,identity,0,1,0,
54,ordinary_codec,54,identity,0,0,0,
55,ordinary_codec,55,identity,0,1,0,
56,ordinary_codec,56,identity,0,1,0,
57,ordinary_codec,57,identity,0,0,0,
58,ordinary_codec,58,identity,0,1,0,
59,ordinary_codec,59,identity,0,1,0,
60,ordinary_codec,60,identity,1,1,1,
61,ordinary_codec,61,identity,0,1,0,
62,ordinary_codec,62,identity,0,0,0,
63,ordinary_codec,63,identity,0,0,0,
64,ordinary_codec,64,identity,0,0,0,
65,ordinary_codec,65,identity,0,1,0,
66,ordinary_codec,66,identity,0,1,0,
67,ordinary_codec,67,identity,0,0,0,
68,ordinary_codec,68,identity,0,1,0,
69,ordinary_codec,69,identity,0,1,0,
70,ordinary_codec,70,identity,0,0,0,
71,ordinary_codec,71,identity,0,1,0,
72,ordinary_codec,72,identity,0,1,0,
73,ordinary_codec,73,identity,0,1,0,
74,ordinary_codec,74,identity,0,1,0,
75,ordinary_codec,75,identity,0,0,0,
76,ordinary_codec,76,identity,0,0,0,
77,ordinary_codec,77,identity,0,1,0,
78,ordinary_codec,78,identity,0,0,0,
79,ordinary_codec,79,identity,0,1,0,
80,ordinary_codec,80,identity,0,1,0,
81,ordinary_codec,81,identity,0,1,0,
82,ordinary_codec,82,identity,0,1,0,
83,ordinary_codec,83,identity,1,1,1,
84,ordinary_codec,84,identity,0,0,0,
85,ordinary_codec,85,identity,0,0,0,
86,ordinary_codec,86,identity,0,1,0,
87,ordinary_codec,87,identity,0,1,0,
88,ordinary_codec,88,identity,3,1,1,
89,ordinary_codec,89,identity,0,0,0,
90,ordinary_codec,90,identity,0,0,0,
91,ordinary_codec,91,identity,0,1,0,
92,ordinary_codec,92,identity,0,1,0,
93,ordinary_codec,93,identity,0,0,0,
94,ordinary_codec,94,identity,0,0,0,
95,ordinary_codec,95,identity,0,1,0,
96,ordinary_codec,96,identity,0,1,0,
97,ordinary_codec,97,identity,0,1,0,
98,ordinary_codec,98,identity,0,1,0,
99,ordinary_codec,99,identity,0,1,0,
100,ordinary_codec,100,identity,4,1,1,
101,ordinary_codec,101,identity,0,1,0,
102,ordinary_codec,102,identity,0,1,0,
103,ordinary_codec,103,identity,0,1,0,
104,ordinary_codec,104,identity,0,1,0,
105,ordinary_codec,105,identity,0,1,0,
106,ordinary_codec,106,identity,0,0,0,
107,ordinary_codec,107,identity,0,0,0,
108,ordinary_codec,108,identity,0,1,0,
109,ordinary_codec,109,identity,0,1,0,
110,ordinary_codec,110,identity,0,1,0,
111,ordinary_codec,111,identity,0,1,0,
112,ordinary_codec,112,identity,0,1,0,
113,ordinary_codec,113,identity,1,1,1,
114,ordinary_codec,114,identity,0,1,0,
115,ordinary_codec,115,identity,0,0,0,
116,ordinary_codec,116,identity,0,0,0,
117,ordinary_codec,117,identity,0,0,0,
118,ordinary_codec,118,identity,0,1,0,
119,ordinary_codec,119,identity,0,0,0,
120,ordinary_codec,120,identity,0,1,0,
121,ordinary_codec,121,identity,0,1,0,
122,ordinary_codec,122,identity,0,1,0,
123,ordinary_codec,123,identity,0,1,0,
124,ordinary_codec,124,identity,0,0,0,
125,ordinary_codec,125,identity,0,0,0,
126,ordinary_codec,126,identity,0,1,0,
127,ordinary_codec,127,identity,0,1,0,
128,ordinary_codec,128,identity,0,0,0,
129,ordinary_codec,129,identity,0,1,0,
130,ordinary_codec,130,identity,0,1,0,
131,ordinary_codec,131,identity,0,0,0,
132,ordinary_codec,132,identity,0,1,0,
133,ordinary_codec,133,identity,0,0,0,
134,ordinary_codec,134,identity,0,0,0,
135,ordinary_codec,135,identity,0,1,0,
136,ordinary_codec,136,identity,0,1,0,
137,ordinary_codec,137,identity,0,1,0,
138,ordinary_codec,138,identity,0,1,0,
139,ordinary_codec,139,identity,0,1,0,
140,ordinary_codec,140,identity,0,1,0,
141,ordinary_codec,141,identity,0,0,0,
142,ordinary_codec,142,identity,0,1,0,
143,ordinary_codec,143,identity,0,0,0,
144,ordinary_codec,144,identity,0,1,0,
